70 1 70 70 509
70 2 139 142 485
70 3 207 206 524
70 4 274 215 499
70 5 340 232 521
70 6 405 241 534
70 7 469 295 541
70 8 532 301 539
70 9 594 316 543
70 10 655 347 555
70 11 715 343 557
70 12 774 371 566
70 13 832 374 567
70 14 889 384 572
70 15 945 403 586
70 16 1000 416 588
70 17 1054 430 598
70 18 1107 433 597
70 19 1159 452 598
70 20 1210 467 609
70 21 1260 476 612
70 22 1309 489 625
70 23 1357 485 623
70 24 1404 517 639
70 25 1450 523 646
70 26 1495 525 645
70 27 1539 545 656
70 28 1582 550 662
70 29 1624 559 669
70 30 1665 564 675
70 31 1705 575 679
70 32 1744 588 690
70 33 1782 602 701
70 34 1819 612 704
70 35 1855 618 708
70 36 1890 631 721
70 37 1924 638 729
70 38 1957 645 735
70 39 1989 670 742
70 40 2020 673 745
70 41 2050 682 755
70 42 2079 691 762
70 43 2107 696 763
70 44 2134 717 774
70 45 2160 721 782
70 46 2185 732 793
70 47 2209 734 796
70 48 2232 753 810
70 49 2254 764 818
70 50 2275 773 825
70 51 2295 782 833
70 52 2314 788 835
70 53 2332 795 844
70 54 2349 809 857
70 55 2365 820 866
70 56 2380 826 870
70 57 2394 833 878
70 58 2407 851 891
70 59 2419 858 896
70 60 2430 865 902
70 61 2440 874 910
70 62 2449 879 915
70 63 2457 890 924
70 64 2464 899 932
70 65 2470 913 944
70 66 2475 924 953
70 67 2479 936 962
70 68 2482 941 966
70 69 2484 957 980
70 70 2485 968 989
