30 1 30 30 171
30 2 59 61 182
30 3 87 74 178
30 4 114 97 197
30 5 140 121 200
30 6 165 126 203
30 7 189 125 196
30 8 212 143 208
30 9 234 149 213
30 10 255 163 223
30 11 275 177 228
30 12 294 180 229
30 13 312 191 236
30 14 329 200 242
30 15 345 205 248
30 16 360 213 253
30 17 374 223 261
30 18 387 234 263
30 19 399 241 272
30 20 410 252 278
30 21 420 257 283
30 22 429 273 294
30 23 437 274 297
30 24 444 286 305
30 25 450 292 311
30 26 455 302 320
30 27 459 310 325
30 28 462 319 333
30 29 464 324 337
30 30 465 323 335
