"nom","dept","comm","arr","tncc","population","latitude","longitude"
"Boulogne-sur-Helpe","59","093","1","0","333","50.078890000000001","3.8955600000000001"
"Bourbourg","59","094","4","0","7004","50.946390000000001","2.1977799999999998"
"Bourghelles","59","096","5","0","1590","50.564720000000001","3.2436099999999999"
"Boursies","59","097","2","0","344","50.140000000000001","3.0330599999999999"
"Bousbecque","59","098","5","0","4752","50.770829999999997","3.0786099999999998"
"Bousies","59","099","1","0","1716","50.151110000000003","3.6158299999999999"
"Bousignies","59","100","6","0","321","50.434719999999999","3.3480599999999998"
"Bousignies-sur-Roc","59","101","1","0","442","50.263559999999998","4.1828700000000003"
"Boussières-en-Cambrésis","59","102","2","0","433","50.165100000000002","3.3668"
"Boussières-sur-Sambre","59","103","1","0","528","50.240279999999998","3.8816700000000002"
"Boussois","59","104","1","0","3284","50.290559999999999","4.0408299999999997"
"Bouvignies","59","105","3","0","1545","50.435830000000003","3.2450000000000001"
"Bouvines","59","106","5","0","730","50.578890000000001","3.1863899999999998"
"Bray-Dunes","59","107","4","0","4727","51.071399999999997","2.528"
"Briastre","59","108","2","0","724","50.15972","3.4869400000000002"
"Brillon","59","109","6","0","755","50.435830000000003","3.3302800000000001"
"Brouckerque","59","110","4","0","1308","50.953890000000001","2.2919399999999999"
"Broxeele","59","111","4","0","313","50.829999999999998","2.3213900000000001"
"Bruay-sur-l'Escaut","59","112","6","0","12413","50.398200000000003","3.5405000000000002"
"Bruille-lez-Marchiennes","59","113","3","0","1353","50.358890000000002","3.2438899999999999"
"Bruille-Saint-Amand","59","114","6","0","1637","50.454900000000002","3.5198"
"Brunémont","59","115","3","0","641","50.273060000000001","3.13917"
"Bry","59","116","1","0","379","50.318060000000003","3.67944"
"Bugnicourt","59","117","3","0","967","50.29083","3.1558299999999999"
"Busigny","59","118","2","0","2593","50.033329999999999","3.4666700000000001"
"Buysscheure","59","119","4","0","526","50.803890000000003","2.3330600000000001"
"Caëstre","59","120","4","0","1846","50.758330000000001","2.6041699999999999"
"Cagnoncles","59","121","2","0","551","50.191110000000002","3.3102800000000001"
"Cambrai","59","122","2","0","33345","50.175829999999998","3.2347199999999998"
"Camphin-en-Carembault","59","123","5","0","1661","50.511940000000003","2.9869400000000002"
"Camphin-en-Pévèle","59","124","5","0","2004","50.595300000000002","3.2606000000000002"
"Cantaing-sur-Escaut","59","125","2","0","441","50.148609999999998","3.1636099999999998"
"Cantin","59","126","3","0","1467","50.309170000000002","3.1258300000000001"
"Capelle","59","127","2","0","163","50.237780000000001","3.5477799999999999"
"Capinghem","59","128","5","0","1644","50.644440000000003","2.9619399999999998"
"Cappelle-en-Pévèle","59","129","5","0","2150","50.510280000000002","3.1724999999999999"
"Cappelle-Brouck","59","130","4","0","1168","50.902200000000001","2.2229000000000001"
"Cappelle-la-Grande","59","131","4","0","8262","50.998330000000003","2.3641700000000001"
"Carnières","59","132","2","0","1084","50.16778","3.34667"
